step,action,action_name,original_action,actual_action,is_valid,pre_elements,post_elements,delta_elements,pre_resource,post_resource,delta_resource,old_barrier,new_barrier,resource_penalty,accuracy_term,expected_accuracy,expected_reward,actual_reward,delta_u,took_timestep,step_time,terminated,truncated,reason
1,2,Refine,1,1,True,8,9,1,0.32,0.36,0.03999999999999998,0.831890330807703,0.9375,0.10560966919229697,32.86473778008137,32.86473778008137,30.224496050273945,30.224496050273945,0.01874883413766673,False,0.00655674934387207,False,False,ongoing
2,2,Refine,1,1,True,9,10,1,0.36,0.4,0.040000000000000036,0.9375,1.0540925533894598,0.11659255338945984,32.769556768738596,32.769556768738596,29.8547429340021,29.8547429340021,0.017046596411038478,False,0.006489992141723633,False,False,ongoing
3,2,Refine,1,1,True,10,11,1,0.4,0.44,0.03999999999999998,1.0540925533894598,1.184508853698357,0.13041630030889717,32.769556768738596,32.769556768738596,29.509149261016166,29.509149261016166,0.017046596411038478,True,0.02123403549194336,False,False,ongoing
4,2,Refine,1,1,True,11,12,1,0.44,0.48,0.03999999999999998,1.184508853698357,1.3323467750529825,0.14783792135462548,32.90655597105233,32.90655597105233,29.21060793718669,29.21060793718669,0.019549501006271047,True,0.043227195739746094,False,False,ongoing
5,0,Coarsen,-1,-1,True,12,11,-1,0.48,0.44,-0.03999999999999998,1.3323467750529825,1.184508853698357,-0.14783792135462548,34.8512669091838,-34.8512669091838,-31.155318875318162,-31.155318875318162,0.13668249757838768,False,0.006994962692260742,False,False,ongoing
6,0,Coarsen,-1,-1,True,11,10,-1,0.44,0.4,-0.03999999999999998,1.184508853698357,1.0540925533894598,-0.13041630030889717,34.99957701276606,-34.99957701276606,-31.73916950504363,-31.73916950504363,0.15853427307335677,False,0.006224155426025391,False,False,ongoing
7,1,No Change,0,0,True,10,10,0,0.4,0.4,0.0,1.0540925533894598,1.0540925533894598,0.0,34.99957727009507,0.0,0.0,0.0,0.15853431386882896,False,0.006495952606201172,False,False,ongoing
8,1,No Change,0,0,True,10,10,0,0.4,0.4,0.0,1.0540925533894598,1.0540925533894598,0.0,34.99957727009507,0.0,0.0,0.0,0.15853431386882896,False,0.006103038787841797,False,False,ongoing
9,2,Refine,1,1,True,10,11,1,0.4,0.44,0.03999999999999998,1.0540925533894598,1.184508853698357,0.13041630030889717,34.99957677354914,34.99957677354914,31.739169265826707,31.739169265826707,0.1585342351492802,False,0.006645917892456055,False,False,ongoing
10,2,Refine,1,1,True,11,12,1,0.44,0.48,0.03999999999999998,1.184508853698357,1.3323467750529825,0.14783792135462548,34.999576960756016,34.999576960756016,31.30362892689038,31.30362892689038,0.15853426482798247,False,0.00745391845703125,False,False,ongoing
