#{"t_start": 1743101511.1713002, "env_id": "None"}
r,l,t
-193.34338,100,2.51361
-38.78562,100,3.143132
-109.604423,100,3.700543
70.454325,100,4.170064
-45.13258,100,4.680724
150.94148,100,5.184065
173.549811,100,5.757529
44.228229,42,6.003476
117.513074,100,6.737412
-1.891591,98,7.340695
-284.623897,100,8.219165
36.873795,100,9.00174
-2885.249726,97,9.801496
-370.717413,63,10.263665
-2909.128083,67,10.804695
-74.546676,70,11.366895
-276.879506,100,12.213003
-786.940009,92,12.911956
56.889723,45,13.165918
-6.716499,64,13.641531
-47.753084,50,14.047408
108.3415,100,14.775143
-370.929117,56,15.2371
-59.329132,65,15.749361
-100.877182,65,16.247174
-2858.796939,69,16.799758
-2869.693241,52,17.217646
-438.71964,82,17.816534
47.023729,52,18.141884
-816.070166,64,18.685395
-820.17755,56,19.152826
41.360536,46,19.450159
-3.621692,66,20.012965
47.323377,36,20.242674
-2855.198395,85,20.76141
43.761532,26,20.919012
-346.263212,57,21.291611
88.387752,100,21.798614
39.13572,41,22.070384
-196.489422,71,22.552296
-13.161235,36,22.836759
-2836.50844,58,23.296607
-757.918982,47,23.651303
-396.448575,84,24.336465
17.157434,29,24.568165
-60.103037,41,24.910612
9.03198,36,25.22179
-2861.974951,75,25.89427
26.93968,69,26.34771
-20.7662,28,26.562626
-85.845672,55,26.944201
49.796587,54,27.396605
-740.221845,47,27.842499
-61.738263,32,28.110409
-363.175924,98,28.807735
-123.467922,80,29.438203
-732.416204,42,29.808161
41.55586,32,30.057941
-60.168839,25,30.26612
-164.639644,64,30.794461
-2961.131035,65,31.360225
102.523565,100,31.936136
28.557886,37,32.169725
-70.219615,27,32.354788
-2003.509022,100,33.203131
36.281407,28,33.395586
-2826.462003,62,33.878496
-72.196313,70,34.437163
40.850162,51,34.79319
6.396607,30,35.0105
47.633182,57,35.405004
-365.52744,44,35.809208
37.332066,73,36.318328
-71.837584,47,36.654603
-2916.904977,62,37.175778
34.641864,19,37.311767
37.331982,24,37.456909
3.209458,39,37.717426
-345.279483,43,38.044872
-2831.467721,53,40.977653
26.68379,34,41.206263
19.397463,60,41.65187
-47.137882,81,42.228764
-222.768736,67,42.739554
11.092523,84,43.482014
-2899.134523,68,44.038975
-2836.439664,64,44.615676
-1968.204878,44,44.985044
-2839.806603,61,45.462537
-2835.396284,72,46.106972
-2833.233797,55,46.639475
-96.603942,42,46.978049
-78.890582,36,47.267166
18.96934,27,47.459939
-171.34014,41,47.832305
-735.168542,53,48.322089
-175.389422,28,48.578322
38.490296,26,48.750363
16.383774,34,49.043074
-735.304867,41,49.371688
1.537119,59,49.88224
36.221812,51,50.267458
30.857058,39,50.589106
13.950837,39,50.887219
-2829.442025,68,51.386247
56.550627,33,51.661913
31.515884,43,51.999815
32.569773,42,52.35978
-2835.746689,54,52.82779
37.370293,21,52.983644
55.39853,28,53.186407
-5.959096,43,53.539783
24.92214,24,53.731601
-60.154149,29,53.980879
60.443447,27,54.174482
