timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,0,-1,0.0,0.16,4,0.16,0,0
2,0,-1,0.0,0.16,4,0.16,0,0
3,2,1,33.268265,0.2,5,0.2,0,0
4,0,-1,0.0,0.2,5,0.2,0,0
5,0,-1,-32.89502,0.16,4,0.16,0,0
6,0,-1,0.0,0.16,4,0.16,0,0
7,2,1,32.93794,0.2,5,0.2,0,0
8,0,-1,-32.93794,0.16,4,0.16,0,0
9,1,0,0.0,0.16,4,0.16,0,0
10,1,0,0.0,0.16,4,0.16,0,0
11,0,-1,0.0,0.16,4,0.16,0,0
12,2,1,33.268265,0.2,5,0.2,0,0
13,2,1,31.681099,0.24,6,0.24,0,0
14,0,-1,-33.14954,0.2,5,0.2,0,0
15,2,1,33.21716,0.24,6,0.24,0,0
16,0,-1,-33.21716,0.2,5,0.2,0,0
17,2,1,33.24712,0.24,6,0.24,0,0
18,2,1,33.098835,0.28,7,0.28,0,0
19,1,0,0.0,0.28,7,0.28,0,0
20,2,1,32.933266,0.32,8,0.32,0,0
21,2,1,32.716938,0.36,9,0.36,1,0
22,0,-1,0.0,0.36,9,0.36,0,0
23,1,0,0.0,0.36,9,0.36,0,0
24,2,1,30.212332,0.4,10,0.4,0,0
25,0,-1,0.0,0.4,10,0.4,0,0
26,1,0,0.0,0.4,10,0.4,0,0
27,0,-1,-30.247541,0.36,9,0.36,0,0
28,2,1,30.271538,0.4,10,0.4,0,0
29,1,0,0.0,0.4,10,0.4,0,0
30,2,1,29.931364,0.44,11,0.44,0,0
31,2,1,29.666428,0.48,12,0.48,0,0
32,2,1,29.029003,0.52,13,0.52,0,0
33,1,0,0.0,0.52,13,0.52,0,0
34,0,-1,-28.852755,0.48,12,0.48,0,0
35,2,1,28.940523,0.52,13,0.52,0,0
36,2,1,28.228617,0.56,14,0.56,0,0
37,2,1,27.29589,0.6,15,0.6,0,0
38,0,-1,-27.295872,0.56,14,0.56,0,0
39,0,-1,0.0,0.56,14,0.56,0,0
40,2,1,27.290804,0.6,15,0.6,0,0
41,2,1,26.03182,0.64,16,0.64,0,0
42,2,1,24.306013,0.68,17,0.68,0,0
43,2,1,21.836018,0.72,18,0.72,0,0
44,0,-1,-21.836014,0.68,17,0.68,1,0
45,1,0,0.0,0.68,17,0.68,0,0
46,0,-1,-25.882532,0.64,16,0.64,0,0
47,0,-1,0.0,0.64,16,0.64,0,0
48,0,-1,0.0,0.64,16,0.64,0,0
49,1,0,0.0,0.64,16,0.64,0,0
50,2,1,25.882242,0.68,17,0.68,0,0
51,2,1,23.390574,0.72,18,0.72,0,0
52,2,1,19.690756,0.76,19,0.76,0,0
53,1,0,0.0,0.76,19,0.76,0,0
54,2,1,13.746733,0.8,20,0.8,0,0
55,2,1,3.3376389,0.84,21,0.84,0,0
56,1,0,0.0,0.84,21,0.84,0,0
57,2,1,-17.488766,0.88,22,0.88,0,0
58,1,0,0.0,0.88,22,0.88,0,0
59,2,1,-69.56564,0.92,23,0.92,0,0
60,0,-1,69.56565,0.88,22,0.88,0,0
61,2,1,-69.56564,0.92,23,0.92,0,0
62,0,-1,69.56565,0.88,22,0.88,0,0
63,2,1,-69.5657,0.92,23,0.92,0,0
64,2,1,-277.89304,0.96,24,0.96,0,0
65,2,1,34.740017,1.0,25,1.0,0,0
66,1,0,0.0,1.0,25,1.0,0,0
67,2,1,34.740013,1.0,25,1.0,0,0
68,0,-1,-34.740013,0.96,24,0.96,0,0
69,0,-1,0.0,0.96,24,0.96,0,0
70,0,-1,277.89297,0.92,23,0.92,0,0
71,2,1,-277.89307,0.96,24,0.96,1,0
72,2,1,36.7624,1.0,25,1.0,0,0
73,0,-1,-36.762966,0.96,24,0.96,0,0
74,2,1,36.762917,1.0,25,1.0,0,0
75,1,0,0.0,1.0,25,1.0,0,0
76,1,0,0.0,1.0,25,1.0,0,0
77,2,1,36.762917,1.0,25,1.0,0,0
78,1,0,0.0,1.0,25,1.0,1,0
79,0,-1,-72.99737,0.96,24,0.96,0,0
80,1,0,0.0,0.96,24,0.96,0,0
81,1,0,0.0,0.96,24,0.96,0,0
82,0,-1,239.63559,0.92,23,0.92,0,0
83,1,0,0.0,0.92,23,0.92,0,0
84,1,0,0.0,0.92,23,0.92,0,0
85,2,1,-239.63559,0.96,24,0.96,0,0
86,1,0,0.0,0.96,24,0.96,0,0
87,0,-1,0.0,0.96,24,0.96,0,0
88,2,1,72.99737,1.0,25,1.0,0,0
89,1,0,0.0,1.0,25,1.0,0,0
90,0,-1,0.0,1.0,25,1.0,0,0
91,1,0,0.0,1.0,25,1.0,0,0
92,2,1,72.99737,1.0,25,1.0,0,0
93,2,1,72.99737,1.0,25,1.0,0,0
94,1,0,0.0,1.0,25,1.0,0,0
95,0,-1,0.0,1.0,25,1.0,0,0
96,2,1,72.99737,1.0,25,1.0,0,0
97,1,0,0.0,1.0,25,1.0,0,0
98,0,-1,0.0,1.0,25,1.0,0,0
99,1,0,0.0,1.0,25,1.0,0,0
100,2,1,72.99737,1.0,25,1.0,0,0
101,2,1,72.99737,1.0,25,1.0,0,0
102,2,1,72.99737,1.0,25,1.0,0,0
103,2,1,72.99737,1.0,25,1.0,0,0
104,0,-1,-72.99737,0.96,24,0.96,0,0
105,2,1,72.99737,1.0,25,1.0,1,0
106,0,-1,-70.086075,0.96,24,0.96,0,0
107,0,-1,0.0,0.96,24,0.96,0,0
108,1,0,0.0,0.96,24,0.96,0,0
109,2,1,70.086075,1.0,25,1.0,0,0
110,0,-1,0.0,1.0,25,1.0,0,0
