episode,total_reward,length,termination_reason,final_element_count,final_resource_usage,refine_count,coarsen_count,no_change_count,refine_pct,coarsen_pct,no_change_pct
1,-1015.489156,96,Budget exceeded (pre-action),0,0,25,37,34,0.2604166666666667,0.3854166666666667,0.3541666666666667
2,-1992.987945,53,Budget exceeded (pre-action),0,0,20,11,22,0.37735849056603776,0.20754716981132076,0.41509433962264153
3,-1214.062845,41,Budget exceeded (pre-action),0,0,16,10,15,0.3902439024390244,0.24390243902439024,0.36585365853658536
4,-1373.976677,56,Budget exceeded (post-adapt),0,0,20,20,16,0.35714285714285715,0.35714285714285715,0.2857142857142857
5,-2079.959949,57,Budget exceeded (pre-action),0,0,17,23,17,0.2982456140350877,0.40350877192982454,0.2982456140350877
6,-1223.577875,105,Budget exceeded (pre-action),0,0,27,33,45,0.2571428571428571,0.3142857142857143,0.42857142857142855
7,-1959.012856,114,Budget exceeded (pre-action),0,0,29,33,52,0.2543859649122807,0.2894736842105263,0.45614035087719296
8,-1427.81354,41,Budget exceeded (post-adapt),0,0,18,10,13,0.43902439024390244,0.24390243902439024,0.3170731707317073
9,-1963.101111,57,Budget exceeded (post-adapt),0,0,16,11,30,0.2807017543859649,0.19298245614035087,0.5263157894736842
10,-1987.971255,66,Budget exceeded (pre-action),0,0,20,19,27,0.30303030303030304,0.2878787878787879,0.4090909090909091
11,-1858.897728,54,Budget exceeded (pre-action),0,0,18,12,24,0.3333333333333333,0.2222222222222222,0.4444444444444444
12,-2135.456314,79,Budget exceeded (pre-action),0,0,19,33,27,0.24050632911392406,0.4177215189873418,0.34177215189873417
13,-1940.500194,51,Budget exceeded (post-adapt),0,0,19,13,19,0.37254901960784315,0.2549019607843137,0.37254901960784315
14,-2114.004215,49,Budget exceeded (post-adapt),0,0,16,12,21,0.32653061224489793,0.24489795918367346,0.42857142857142855
15,-1820.354925,80,Budget exceeded (pre-action),0,0,24,25,31,0.3,0.3125,0.3875
16,-1853.808023,61,Budget exceeded (pre-action),0,0,22,14,25,0.36065573770491804,0.22950819672131148,0.4098360655737705
17,-2050.276022,88,Budget exceeded (pre-action),0,0,24,28,36,0.2727272727272727,0.3181818181818182,0.4090909090909091
18,-2051.014132,73,Budget exceeded (post-adapt),0,0,19,23,31,0.2602739726027397,0.3150684931506849,0.4246575342465753
19,-1371.681356,101,Budget exceeded (pre-action),0,0,18,35,48,0.1782178217821782,0.3465346534653465,0.4752475247524752
20,-1911.377233,84,Budget exceeded (post-adapt),0,0,24,23,37,0.2857142857142857,0.27380952380952384,0.44047619047619047
21,-1310.874859,117,Budget exceeded (post-adapt),0,0,24,43,50,0.20512820512820512,0.36752136752136755,0.42735042735042733
22,-1281.351347,99,Budget exceeded (pre-action),0,0,17,31,51,0.1717171717171717,0.31313131313131315,0.5151515151515151
23,-1364.251066,129,Budget exceeded (post-adapt),0,0,24,48,57,0.18604651162790697,0.37209302325581395,0.4418604651162791
24,-124.276658,200,Maximum episode steps reached,0,0,36,84,80,0.18,0.42,0.4
25,-1893.306102,85,Budget exceeded (pre-action),0,0,15,23,47,0.17647058823529413,0.27058823529411763,0.5529411764705883
26,-2173.706681,190,Budget exceeded (pre-action),0,0,21,73,96,0.11052631578947368,0.38421052631578945,0.5052631578947369
27,-1171.547076,157,Budget exceeded (pre-action),0,0,25,40,92,0.1592356687898089,0.25477707006369427,0.5859872611464968
28,-1041.062756,56,Budget exceeded (pre-action),0,0,15,11,30,0.26785714285714285,0.19642857142857142,0.5357142857142857
29,-1045.010466,84,Budget exceeded (pre-action),0,0,22,23,39,0.2619047619047619,0.27380952380952384,0.4642857142857143
30,-1440.614497,105,Budget exceeded (pre-action),0,0,22,29,54,0.20952380952380953,0.2761904761904762,0.5142857142857142
31,-1256.659317,73,Budget exceeded (pre-action),0,0,15,16,42,0.2054794520547945,0.2191780821917808,0.5753424657534246
32,-1069.201437,141,Error: Mesh quality issues: Element size ratio too large: 384.00,0,0,25,44,72,0.1773049645390071,0.3120567375886525,0.5106382978723404
33,-1864.703519,87,Budget exceeded (post-adapt),0,0,19,21,47,0.21839080459770116,0.2413793103448276,0.5402298850574713
34,-1993.31352,107,Budget exceeded (pre-action),0,0,16,19,72,0.14953271028037382,0.17757009345794392,0.6728971962616822
35,-129.806535,103,Error: Mesh quality issues: Element size ratio too large: 384.00,0,0,16,23,64,0.1553398058252427,0.22330097087378642,0.6213592233009708
36,-975.004577,85,Budget exceeded (post-adapt),0,0,15,18,52,0.17647058823529413,0.21176470588235294,0.611764705882353
37,-1943.410375,132,Budget exceeded (post-adapt),0,0,20,36,76,0.15151515151515152,0.2727272727272727,0.5757575757575758
38,-1150.650283,138,Budget exceeded (post-adapt),0,0,29,38,71,0.21014492753623187,0.2753623188405797,0.5144927536231884
39,-1911.930166,90,Budget exceeded (pre-action),0,0,18,21,51,0.2,0.23333333333333334,0.5666666666666667
40,-1135.339031,58,Budget exceeded (post-adapt),0,0,16,10,32,0.27586206896551724,0.1724137931034483,0.5517241379310345
41,-1225.125364,87,Budget exceeded (pre-action),0,0,17,21,49,0.19540229885057472,0.2413793103448276,0.5632183908045977
42,-2024.768381,85,Budget exceeded (post-adapt),0,0,16,18,51,0.18823529411764706,0.21176470588235294,0.6
43,-1047.700406,67,Budget exceeded (post-adapt),0,0,14,19,34,0.208955223880597,0.2835820895522388,0.5074626865671642
