#{"t_start": 1742609890.636574, "env_id": "None"}
r,l,t
-1461.357785,71,2.048861
-1145.452948,49,2.402766
-1307.127456,74,2.904375
-1969.061147,82,3.498351
-1389.731376,159,4.561325
-1890.642546,123,5.446829
-1420.456816,125,6.381994
-1180.80349,84,7.18076
-1209.453376,176,8.73438
-1936.321457,94,9.692237
-85.402715,200,11.107545
-1189.468272,84,11.975026
-1158.040977,57,12.448087
-259.81929,200,14.225189
-1333.287165,154,15.228037
-1083.063885,34,15.551746
-121.479691,37,15.899256
-1153.721128,74,16.491633
-1339.800905,44,16.902657
-1903.478281,38,17.207824
-2020.05335,124,18.355446
-1157.418736,86,19.094915
-1966.108478,57,19.68764
-933.45342,23,19.897792
-2004.559634,122,21.267458
-2035.635629,121,22.398781
-1858.460035,93,23.144733
-1401.138532,103,23.994261
-1444.289375,70,24.684152
-1157.164395,81,25.399862
-1268.284825,163,27.187119
-1354.703971,130,28.425613
-293.421555,66,29.053858
-1940.553116,109,30.011493
-1284.894708,49,30.545261
-1311.038729,45,31.092482
-1303.056072,120,32.124463
-1933.900604,76,32.846412
-1315.889995,60,33.346375
-1080.752556,46,33.788103
-1160.577245,48,34.229376
-1219.944848,158,35.925663
-1172.424151,160,37.619732
-1170.458616,105,38.455294
-1399.490424,129,39.55942
-2030.895135,97,40.477159
-267.617533,200,42.616526
-132.81051,200,44.531419
-2057.619666,119,45.549383
-1030.884063,146,50.213775
-250.445663,200,52.38834
-1059.232592,85,53.237522
-501.430273,200,55.66516
-421.285064,200,57.999935
29.857252,100,58.978293
-2036.182589,153,60.686776
-1307.746961,110,61.720486
-1342.216343,28,62.034444
-1155.611164,165,63.735226
-1381.270734,37,64.117408
-1233.12877,125,65.610233
-98.078872,200,67.973282
-237.786384,200,70.13569
-119.099951,200,72.148338
-365.644547,186,74.244622
-213.979936,200,76.148571
-30.484452,200,78.386142
-162.673972,200,80.912491
-399.798605,200,82.948634
77.304295,116,84.072392
-451.024072,193,86.139936
22.994128,200,88.424711
-1241.583096,172,90.322336
-76.595642,200,92.750472
-886.444841,140,94.490689
-414.645419,200,97.28716
-54.450934,200,100.468196
-14.468211,200,103.165748
-93.76065,200,106.180752
-22.749564,200,112.810126
-17.178589,200,115.553429
-937.447086,116,117.235664
-40.792335,200,120.013129
-15.253089,200,122.777394
-188.055922,118,124.397389
34.076943,200,126.803267
-105.289229,108,128.192791
-145.697775,200,131.099292
-50.481807,200,133.761729
3.064882,200,136.384197
-1875.774659,146,138.139813
-1084.708873,195,140.821522
-186.743722,200,143.386132
-227.033803,146,145.444672
-1018.814776,169,147.419298
62.663765,200,149.732132
-71.715893,200,152.362189
-260.067911,200,154.720766
55.184545,200,157.053491
-1226.05302,190,159.26053
-5.49708,200,161.626351
114.852529,200,163.71847
62.878842,200,165.996548
-14.145694,200,168.502454
19.992836,200,170.704436
-30.605079,200,173.096103
-35.102171,200,178.71194
-946.425535,200,181.200967
52.269437,200,183.435401
97.21553,200,185.881662
10.339412,200,188.345038
-50.027606,200,190.898632
65.540385,200,193.397852
-0.56389,200,196.110246
75.458231,200,198.365803
138.430587,200,200.92004
-333.002385,200,203.518804
66.628044,200,205.994028
-250.700719,167,208.034288
101.727991,200,210.544008
64.31844,200,212.87138
69.336557,200,215.37339
76.9742,200,217.712252
104.861715,79,218.481157
29.63348,103,219.602532
-47.672548,200,222.243009
101.496059,200,224.429183
-9.932983,200,226.7042
0.016237,200,229.365373
-953.797805,200,232.191641
25.418735,200,234.802356
-368.304716,200,237.418637
16.010805,200,243.353168
-21.091803,130,244.858012
57.811773,79,245.73008
113.099256,200,247.991524
82.517539,200,250.267235
191.864508,200,252.783237
-118.732328,200,255.033992
-50.195803,200,257.847028
-126.442402,200,260.597862
8.522691,159,262.448272
-61.267235,200,264.824369
9.357713,200,267.174838
31.110415,200,269.512094
87.285486,33,269.869109
97.727623,200,272.431367
66.821524,200,274.754543
-45.707763,200,277.333125
76.571858,58,277.935181
-891.160768,129,279.277961
111.089009,200,281.679146
-206.040876,119,283.208004
47.150688,200,285.575547
-376.748053,200,288.016826
-42.912895,200,290.493109
25.720715,200,292.830171
24.813913,54,293.384782
60.320612,200,295.694945
21.235891,144,297.212313
-49.556725,200,299.801406
-287.321668,200,302.599201
5.087236,200,308.382903
183.401635,200,310.608614
-94.340291,200,313.156495
103.795521,200,315.350933
83.688912,200,317.7075
-23.609232,200,320.2701
82.968267,200,322.68403
97.813958,200,325.100808
68.303553,200,327.667565
-339.569557,200,330.207243
72.67004,111,331.335195
-84.70832,200,333.927537
-100.931181,200,336.564625
53.269026,200,338.842823
120.286421,200,341.073408
21.525021,104,342.127174
37.067892,200,344.496491
64.895487,200,346.800955
83.355798,200,349.238381
86.368842,200,351.778488
97.727623,200,354.286885
-3.79855,200,356.921821
