#{"t_start": 1740060778.575614, "env_id": "None"}
r,l,t
-100.0,1,1.480591
-100.0,1,1.493153
-100.0,1,1.505092
-100.0,1,1.519305
-100.0,1,1.533474
-100.0,1,1.618095
-100.0,1,1.629872
-100.0,1,1.642129
-100.0,1,1.653499
-100.0,1,1.666923
-100.0,1,1.684723
-100.0,1,1.70003
-100.0,1,1.715444
-100.0,1,1.729473
-100.0,1,1.767935
-100.0,1,1.78415
-100.0,1,1.798448
-100.0,1,1.814149
-100.0,1,1.82881
-100.0,1,1.840139
-100.0,1,1.85538
-100.0,1,1.867178
-100.0,1,1.879745
-100.0,1,1.892822
-100.0,1,1.904956
-100.0,1,1.918988
-100.0,1,1.932563
-100.0,1,1.945242
-100.0,1,1.956985
-100.0,1,1.969013
-100.0,1,1.982872
-100.0,1,1.99456
-100.0,1,2.005989
-100.0,1,2.017114
-100.0,1,2.029186
-100.0,1,2.045851
-100.0,1,2.058899
-100.0,1,2.071275
-100.0,1,2.082868
-100.0,1,2.095383
-100.0,1,2.110794
-100.0,1,2.12213
-100.0,1,2.133065
-100.0,1,2.144516
-100.0,1,2.15704
-100.0,1,2.173137
-100.0,1,2.184828
-100.0,1,2.196698
-100.0,1,2.20875
-100.0,1,2.22169
-100.0,1,2.235626
-100.0,1,2.24715
-100.0,1,2.258044
-100.0,1,2.270141
-100.0,1,2.28218
-100.0,1,2.295759
-100.0,1,2.308803
-100.0,1,2.320602
-100.0,1,2.332392
-100.0,1,2.344976
-100.0,1,2.359788
-100.0,1,2.371095
-100.0,1,2.384351
-100.0,1,2.396756
-100.0,1,2.414796
-100.0,1,2.431676
-100.0,1,2.446807
-100.0,1,2.46447
-100.0,1,2.48212
-100.0,1,2.501255
-100.0,1,2.523058
-100.0,1,2.538838
-100.0,1,2.584657
-100.0,1,2.598918
-100.0,1,2.616116
-100.0,1,2.634166
-100.0,1,2.65051
-100.0,1,2.66903
-100.0,1,2.681575
-100.0,1,2.696699
-100.0,1,2.712164
-100.0,1,2.725041
-100.0,1,2.737946
-100.0,1,2.749418
-100.0,1,2.762715
-100.0,1,2.778636
-100.0,1,2.791318
-100.0,1,2.804981
-100.0,1,2.816926
-100.0,1,2.831602
-100.0,1,2.847155
-100.0,1,2.860527
-100.0,1,2.873283
-100.0,1,2.885615
-100.0,1,2.898472
-100.0,1,2.914497
-100.0,1,2.925901
-100.0,1,2.937652
-100.0,1,2.949585
-100.0,1,2.961222
-100.0,1,2.975161
-100.0,1,2.986909
-100.0,1,2.999829
-100.0,1,3.012369
-100.0,1,3.025657
-100.0,1,3.042207
-100.0,1,3.055217
-100.0,1,3.069285
-100.0,1,3.084906
-100.0,1,3.097555
-100.0,1,3.112861
-100.0,1,3.124592
-100.0,1,3.137013
-100.0,1,3.150827
-100.0,1,3.16403
-100.0,1,3.180106
-100.0,1,3.194974
-100.0,1,3.206795
-100.0,1,3.221963
-100.0,1,3.233359
-100.0,1,3.247654
-100.0,1,3.260192
-100.0,1,3.271802
-100.0,1,3.28319
-100.0,1,3.295163
-100.0,1,3.311324
-100.0,1,3.323837
-100.0,1,3.337306
-100.0,1,3.350208
-100.0,1,3.364302
-100.0,1,3.38128
-100.0,1,3.395405
-100.0,1,3.408171
-100.0,1,3.422035
-100.0,1,3.435033
-100.0,1,3.478024
-100.0,1,3.498539
-100.0,1,3.515075
-100.0,1,3.530197
-100.0,1,3.542635
-100.0,1,3.558589
-100.0,1,3.572271
-100.0,1,3.586672
-100.0,1,3.599871
-100.0,1,3.614872
-100.0,1,3.633942
-100.0,1,3.650641
-100.0,1,3.667199
-100.0,1,3.682368
-100.0,1,3.697529
-100.0,1,3.714864
-100.0,1,3.728667
-100.0,1,3.740152
-100.0,1,3.754801
-100.0,1,3.767666
-100.0,1,3.78568
-100.0,1,3.798041
-100.0,1,3.811109
-100.0,1,3.823974
-100.0,1,3.836956
-100.0,1,3.852238
-100.0,1,3.865806
-100.0,1,3.880519
-100.0,1,3.897558
-100.0,1,3.909485
-100.0,1,3.926543
-100.0,1,3.939137
-100.0,1,3.953185
-100.0,1,3.968252
-100.0,1,3.982767
-100.0,1,4.004708
-100.0,1,4.017813
-100.0,1,4.030462
-100.0,1,4.0448
-100.0,1,4.060179
-100.0,1,4.078571
-100.0,1,4.091858
-100.0,1,4.107121
-100.0,1,4.12291
-100.0,1,4.138535
-100.0,1,4.159363
-100.0,1,4.173213
-100.0,1,4.186664
-100.0,1,4.199978
-100.0,1,4.213589
-100.0,1,4.230168
-100.0,1,4.244434
-100.0,1,4.257354
-100.0,1,4.272951
-100.0,1,4.284404
-100.0,1,4.303164
-100.0,1,4.316228
-100.0,1,4.328893
-100.0,1,4.341472
-100.0,1,4.354077
-100.0,1,4.370814
-100.0,1,4.412248
-100.0,1,4.425063
-100.0,1,4.440229
-100.0,1,4.452632
-100.0,1,4.468278
-100.0,1,4.484878
-100.0,1,4.500625
-100.0,1,4.514549
-100.0,1,4.528449
-100.0,1,4.547449
-100.0,1,4.562511
-100.0,1,4.576688
-100.0,1,4.592038
-100.0,1,4.608042
-100.0,1,4.626706
-100.0,1,4.642004
-100.0,1,4.65515
-100.0,1,4.667706
-100.0,1,4.681016
-100.0,1,4.698111
-100.0,1,4.713856
-100.0,1,4.726793
-100.0,1,4.740467
-100.0,1,4.755222
-100.0,1,4.771531
-100.0,1,4.784223
-100.0,1,4.797467
-100.0,1,4.812024
-100.0,1,4.825726
-100.0,1,4.844266
-100.0,1,4.858105
-100.0,1,4.874904
-100.0,1,4.887645
-100.0,1,4.926511
-100.0,1,4.943344
-100.0,1,4.957689
-100.0,1,4.971872
-100.0,1,4.986142
-100.0,1,5.004161
-100.0,1,5.022568
-100.0,1,5.040751
-100.0,1,5.058107
-100.0,1,5.074887
-100.0,1,5.090439
-100.0,1,5.10942
-100.0,1,5.125864
-100.0,1,5.139933
-100.0,1,5.15291
-100.0,1,5.166024
-100.0,1,5.183146
-100.0,1,5.19923
-100.0,1,5.214741
-100.0,1,5.230563
-100.0,1,5.24428
-100.0,1,5.259626
-100.0,1,5.273495
-100.0,1,5.289987
-100.0,1,5.304238
-100.0,1,5.31714
-100.0,1,5.333666
-100.0,1,5.349663
-100.0,1,5.363083
-100.0,1,5.376618
-100.0,1,5.391475
-100.0,1,5.407761
-100.0,1,5.422727
-100.0,1,5.440166
-100.0,1,5.455798
-100.0,1,5.473001
-100.0,1,5.490523
-100.0,1,5.505906
-100.0,1,5.522199
-100.0,1,5.539511
-100.0,1,5.556162
-100.0,1,5.574602
-100.0,1,5.589599
-100.0,1,5.601145
-100.0,1,5.612957
-100.0,1,5.625523
-100.0,1,5.641259
-100.0,1,5.655477
-100.0,1,5.6679
-100.0,1,5.680557
-100.0,1,5.69209
-100.0,1,5.707181
-100.0,1,5.718998
-100.0,1,5.73221
-100.0,1,5.767375
-100.0,1,5.780084
-100.0,1,5.794295
-100.0,1,5.806165
-100.0,1,5.818873
-100.0,1,5.832319
-100.0,1,5.844742
-100.0,1,5.859445
-100.0,1,5.873181
-100.0,1,5.887965
-100.0,1,5.901733
-100.0,1,5.916662
-100.0,1,5.934245
-100.0,1,5.948158
-100.0,1,5.960369
-100.0,1,5.971882
-100.0,1,5.98329
-100.0,1,5.998997
-100.0,1,6.010811
-100.0,1,6.023391
-100.0,1,6.035215
-100.0,1,6.04916
-100.0,1,6.064504
-100.0,1,6.077967
-100.0,1,6.089784
-100.0,1,6.101996
-100.0,1,6.11371
-100.0,1,6.12908
-100.0,1,6.141773
-100.0,1,6.155339
-100.0,1,6.168035
-100.0,1,6.180948
-100.0,1,6.196485
-100.0,1,6.209033
-100.0,1,6.221535
-100.0,1,6.232909
-100.0,1,6.245805
-100.0,1,6.259979
-100.0,1,6.272113
-100.0,1,6.285055
-100.0,1,6.297641
-100.0,1,6.310528
-100.0,1,6.325984
-100.0,1,6.338643
-100.0,1,6.351739
-100.0,1,6.364657
-100.0,1,6.377403
-100.0,1,6.394368
-100.0,1,6.408401
-100.0,1,6.421831
-100.0,1,6.4342
-100.0,1,6.445853
-100.0,1,6.460336
-100.0,1,6.473289
-100.0,1,6.488215
-100.0,1,6.500702
-100.0,1,6.513858
-100.0,1,6.527962
-100.0,1,6.541093
-100.0,1,6.553947
-100.0,1,6.56654
-100.0,1,6.579182
-100.0,1,6.596415
-100.0,1,6.608458
-100.0,1,6.623227
-100.0,1,6.635266
-100.0,1,6.671337
-100.0,1,6.685657
-100.0,1,6.697891
-100.0,1,6.711112
-100.0,1,6.725406
-100.0,1,6.73859
-100.0,1,6.752898
-100.0,1,6.767195
-100.0,1,6.780449
-100.0,1,6.794132
-100.0,1,6.806573
-100.0,1,6.820893
-100.0,1,6.83233
-100.0,1,6.845003
-100.0,1,6.856559
-100.0,1,6.868921
-100.0,1,6.884986
-100.0,1,6.90033
-100.0,1,6.913518
-100.0,1,6.925914
-100.0,1,6.940498
-100.0,1,6.956396
-100.0,1,6.967699
-100.0,1,6.979673
-100.0,1,6.99258
-100.0,1,7.007309
-100.0,1,7.022668
-100.0,1,7.03464
-100.0,1,7.048953
-100.0,1,7.061316
-100.0,1,7.076246
-100.0,1,7.091684
-100.0,1,7.10605
-100.0,1,7.11752
-100.0,1,7.130284
-100.0,1,7.142456
-100.0,1,7.157952
-100.0,1,7.169828
-100.0,1,7.182075
-100.0,1,7.195703
-100.0,1,7.207365
-100.0,1,7.224069
-100.0,1,7.237373
-100.0,1,7.249013
-100.0,1,7.261592
-100.0,1,7.274019
-100.0,1,7.290253
-100.0,1,7.302552
-100.0,1,7.316201
-100.0,1,7.330042
-100.0,1,7.342413
-100.0,1,7.356885
-100.0,1,7.36889
-100.0,1,7.381288
-100.0,1,7.393652
-100.0,1,7.406161
-100.0,1,7.42082
-100.0,1,7.432155
-100.0,1,7.446277
-100.0,1,7.460456
-100.0,1,7.500455
-100.0,1,7.519357
-100.0,1,7.533297
-100.0,1,7.545927
-100.0,1,7.557489
-100.0,1,7.570365
-100.0,1,7.586723
-100.0,1,7.598322
-100.0,1,7.609936
-100.0,1,7.624151
-100.0,1,7.639114
-100.0,1,7.654634
-100.0,1,7.666716
-100.0,1,7.678873
-100.0,1,7.692022
-100.0,1,7.705539
-100.0,1,7.720529
-100.0,1,7.732724
-100.0,1,7.744857
-100.0,1,7.757346
-100.0,1,7.769948
-100.0,1,7.78446
-100.0,1,7.797149
-100.0,1,7.810435
-100.0,1,7.822192
-100.0,1,7.834415
-100.0,1,7.851726
-100.0,1,7.864613
-100.0,1,7.878911
-100.0,1,7.890981
-100.0,1,7.90351
-100.0,1,7.920979
-100.0,1,7.93381
-100.0,1,7.948043
-100.0,1,7.95999
-100.0,1,7.972789
-100.0,1,7.987694
-100.0,1,8.001421
-100.0,1,8.016114
-100.0,1,8.028996
-100.0,1,8.041909
-100.0,1,8.05709
-100.0,1,8.069288
-100.0,1,8.084074
-100.0,1,8.096131
-100.0,1,8.110119
-100.0,1,8.126445
-100.0,1,8.140694
-100.0,1,8.152359
-100.0,1,8.164983
-100.0,1,8.177781
-100.0,1,8.193936
-100.0,1,8.206666
-100.0,1,8.22002
-100.0,1,8.234539
-100.0,1,8.248383
-100.0,1,8.263713
-100.0,1,8.276374
-100.0,1,8.288794
-100.0,1,8.300935
-100.0,1,8.314012
-100.0,1,8.329893
-100.0,1,8.342617
-100.0,1,8.355507
-100.0,1,8.368033
-100.0,1,8.382082
-100.0,1,8.397632
-100.0,1,8.436803
-100.0,1,8.449397
-100.0,1,8.462233
-100.0,1,8.474707
-100.0,1,8.489638
-100.0,1,8.502351
-100.0,1,8.514799
-100.0,1,8.527729
-100.0,1,8.540391
-100.0,1,8.556083
-100.0,1,8.568124
-100.0,1,8.581872
-100.0,1,8.594186
-100.0,1,8.605993
-100.0,1,8.621777
-100.0,1,8.633847
-100.0,1,8.646974
-100.0,1,8.658703
-100.0,1,8.671619
-100.0,1,8.686752
-100.0,1,8.698865
-100.0,1,8.712386
-100.0,1,8.724993
-100.0,1,8.736642
