#{"t_start": 1740500597.4603698, "env_id": "None"}
r,l,t
682.810114,49,1.805422
654.313202,41,2.033402
513.049834,36,2.241009
-613.481153,52,2.60992
-311.337248,71,3.059109
199.042923,18,3.157506
629.144573,46,3.446779
777.076065,68,3.830756
448.493384,39,4.050134
-328.719682,54,4.382151
635.004939,45,4.64305
1310.930064,81,5.073171
1106.398778,86,5.645524
371.575118,35,5.917292
571.173359,33,6.103765
372.91993,55,6.66031
1275.064645,86,7.243719
576.244919,44,7.541992
742.877646,67,8.086861
389.859378,30,8.309587
1369.947992,87,8.834082
713.019443,127,9.807337
1138.560177,79,10.399894
1751.069284,142,11.494344
1102.159482,84,12.210517
-466.299365,48,12.586057
2124.014498,136,13.592446
2396.420449,191,15.208579
3941.111559,255,17.920594
3687.932904,210,19.742027
4625.310087,268,21.139736
2812.81055,137,21.86156
3383.550735,287,23.546854
5137.115028,248,24.924811
7540.662585,485,28.308198
1301.11898,66,28.66511
